title,link,tags,published,intro,image
Customize or Extend Python Third-Party Modules Using Partial Function,https://levelup.gitconnected.com/customize-or-extend-python-third-party-modules-using-partial-function-6729f738dfdf?source=rss-8b2c4a44452c------2,"python,tutorial,programming,function,matplotlib","Sat, 10 Jul 2021 22:13:02 GMT",Let me explain with an example.,https://cdn-images-1.medium.com/max/1000/1*To1yUwpx8muoToR6GEzycg.png
Validate User Input in Python Function,https://levelup.gitconnected.com/validate-user-input-in-python-function-d3c1776e9e52?source=rss-8b2c4a44452c------2,"type,programming,tutorial,python,function","Tue, 29 Jun 2021 15:21:03 GMT","Writing type hints for function arguments is a good start, but as the name suggests, it only hints at the data type of argument. When the functionality of the code depends on the data type of argument, then we must put validations in place.",https://cdn-images-1.medium.com/max/500/1*lT0rghpDqMoLma42NGOChA.png
How to Pick the Optimal Image Size for Training Convolution Neural Network?,https://medium.com/analytics-vidhya/how-to-pick-the-optimal-image-size-for-training-convolution-neural-network-65702b880f05?source=rss-8b2c4a44452c------2,"machine-learning,python,visualization,computer-vision,matplotlib","Wed, 23 Jun 2021 16:44:25 GMT","When training a Convolution Neural Network on a custom dataset, picking the right image is crucial. This will impact the training time & performance of the model. Also, we will learn how to identify if there are any issues with the dataset.",https://cdn-images-1.medium.com/max/1024/0*GGKO-0fJglMqrH_J
7 Advanced Markdown Tips!,https://medium.com/analytics-vidhya/7-advanced-markdown-tips-5a031620bf52?source=rss-8b2c4a44452c------2,"blogging,markdown,html,web-development,programming","Thu, 10 Jun 2021 15:05:03 GMT",Step up your Markdown game with useful and practical tips.,https://cdn-images-1.medium.com/max/1024/0*2JJAURBs080cgyR2.jpg
Do You Visualize DataLoaders for Deep Neural Networks?,https://medium.com/analytics-vidhya/do-you-visualize-dataloaders-for-deep-neural-networks-7840ae58fee7?source=rss-8b2c4a44452c------2,"machine-learning,deep-learning,computer-vision,python,data-science","Thu, 03 Jun 2021 06:58:25 GMT","A lot of factors can affect the performance of a Deep Neural Network. Let’s see how we can set up a PyTorch pipeline for Image augmentation (with help of Albumentations Python library), and use visualization to find any potential issue before it costs you time and money.",https://cdn-images-1.medium.com/max/1024/1*NdxIFtI2AeW3WkTaFePRjA.jpeg
Stamp Detection using Computer Vision and Python,https://medium.com/analytics-vidhya/stamp-detection-using-computer-vision-and-python-6038a0243429?source=rss-8b2c4a44452c------2,"tutorial,programming,python,opencv,computer-vision","Fri, 21 May 2021 17:55:57 GMT",We will use OpenCV to identify the number of stamps in a picture.,https://cdn-images-1.medium.com/max/1024/1*LLr8vm1lJSaK5d9pWitkxQ.jpeg
Automate Gist Creation From Markdown File Using Python,https://medium.com/analytics-vidhya/automate-gist-creation-from-markdown-file-using-python-df730762a1e?source=rss-8b2c4a44452c------2,"python,github,productivity,writing,blogging","Tue, 11 May 2021 12:33:19 GMT","Markdown’s code block is great for writing code snippets. However, when you try to publish or share it via blogging platform there are some shortcomings. Gist can help to bridge the gap. Gist makes your blog look better & easier to maintain. In this post, Let us see how automated gist creation can improve your technical blogging experience.",https://cdn-images-1.medium.com/max/1000/1*IS8_PSMLtHZ0bFYWwZnepg.png
Digit Emoji Predictor: Build UI for Deep Learning model in Notebook,https://medium.com/analytics-vidhya/digit-emoji-predictor-build-ui-for-deep-learning-model-in-notebook-cc8e08669174?source=rss-8b2c4a44452c------2,"jupyter-notebook,python,deep-learning,ui,javascript","Fri, 30 Apr 2021 12:03:13 GMT","Build a digit emoji predictor in Jupyter notebook by passing data between JavaScript & Python. Typically, JavaScripts are used for data visualization in notebooks, but it can also be used for prototyping front-end/UI for deep learning models.",https://cdn-images-1.medium.com/max/1000/1*PhkVJnV3YUSNhSNSs-7PMg.png
Do You Really Understand Try & Finally in Python?,https://medium.com/analytics-vidhya/do-you-really-understand-try-finally-in-python-110cee4c1a8?source=rss-8b2c4a44452c------2,"learning,coding,programming,tutorial,python","Sun, 18 Apr 2021 16:58:08 GMT","In python, try and except blocks are often used by programmers for handling any exception or unhappy scenarios. Finally clause is very under appreciated & can be better utilised. Let us check out howfinal-blockworks.",https://cdn-images-1.medium.com/max/681/1*UvbqhJ61omj3NqgtvvjPUQ.jpeg
Write Better Python Functions (Using Type Dispatch),https://medium.com/analytics-vidhya/write-better-python-functions-using-type-dispatch-94b550f5dde8?source=rss-8b2c4a44452c------2,"type,python,function,tutorial,programming","Sat, 10 Apr 2021 11:27:24 GMT","Writing a function in python is easy but writing a good function is not that easy. Most python programmers are often not aware of how to write clear and concise functions, let alone using Type Dispatch. Let us see how we can write better functions in python using Type Dispatch.",https://cdn-images-1.medium.com/max/600/0*KVoWyha6VfWv8rPv.jpeg
Use case for Python Tuple,https://6aravind.medium.com/use-case-for-python-tuple-b90e0190c3fb?source=rss-8b2c4a44452c------2,"python,programming,learning,coding,software-development","Thu, 25 Mar 2021 11:27:24 GMT","Most Python programmers are guilty (me included) of always using List without even considering Tuple at all. Surely for some use cases, Tuple should be better, right? Keep reading for one such case.",https://miro.medium.com/max/3840/1*1Nx6PRB34MtR7rzBNFROTA.png
